2020-03-02 11:53:28 - google_map - Either the url is invalid or curl / fopen is not enabled
2020-03-03 14:23:19 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 14:23:19 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 14:23:25 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 14:23:25 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 14:23:25 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 14:23:25 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 14:23:57 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 14:23:57 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 14:23:57 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 14:23:57 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 14:29:06 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 14:29:06 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 14:29:06 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 14:29:06 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 14:32:20 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 14:32:20 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 14:32:20 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 14:32:20 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 14:33:08 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 14:33:08 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 14:33:08 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 14:33:08 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 14:33:34 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 14:33:34 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 14:33:34 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 14:33:34 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 14:40:54 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 14:40:54 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 14:40:54 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 14:40:54 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 14:41:35 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 14:41:35 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 14:41:35 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 14:41:35 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 14:42:04 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 14:42:04 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 14:42:04 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 14:42:04 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 14:42:28 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 14:42:28 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 14:42:28 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 14:42:28 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 15:05:14 - PHP Notice:  Undefined variable: entry_payment_title in D:\xampp\htdocs\boilerplate2302_v2\admin\view\template\extension\payment\omise_paynow.tpl on line 33
2020-03-03 15:05:14 - PHP Notice:  Undefined variable: entry_payment_title in D:\xampp\htdocs\boilerplate2302_v2\admin\view\template\extension\payment\omise_paynow.tpl on line 36
2020-03-03 15:06:28 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 15:06:28 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 15:06:28 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 15:06:28 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 15:06:34 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 15:06:34 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 15:06:34 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 15:06:34 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 15:07:35 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 15:07:35 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 15:07:35 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 15:07:35 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 15:08:45 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 15:08:45 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 15:08:45 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 15:08:45 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 15:09:17 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 15:09:17 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 15:09:17 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 15:09:17 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 15:21:13 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 15:21:13 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 15:21:13 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
